Words,Count,Adjusted_Freq,Valence,Subjectivity,,
limited,3,0.000252164,-0.071428571,0.142857143,,
LIFE,1,8.40548E-05,0,0,,
suicidal,33,0.002773809,0,0,,
Describes,1,8.40548E-05,0,0,,11897
sleep,2,0.00016811,0,0,,
Described,1,8.40548E-05,0,0,,
captain,1,8.40548E-05,0,0,,
Delsum,1,8.40548E-05,0,0,,
worth,16,0.001344877,0.3,0.1,,
15yo,1,8.40548E-05,0,0,,
manic,2,0.00016811,0,0,,
Military,2,0.00016811,-0.1,0.1,,
34X,1,8.40548E-05,0,0,,
wooden,1,8.40548E-05,0,0,,
unrelated,1,8.40548E-05,0,0,,
34x,1,8.40548E-05,0,0,,
undercover,3,0.000252164,0,0,,
enjoy,5,0.000420274,0.4,0.5,,
tired,12,0.001008658,-0.4,0.7,,
consistent,6,0.000504329,0.25,0.25,,
Negative,3,0.000252164,-0.3,0.4,,
second,133,0.011179289,0,0,,
huffing,1,8.40548E-05,0,0,,
boycrazy,1,8.40548E-05,0,0,,
7th,18,0.001512986,0,0,,
blue,1,8.40548E-05,0,0.1,,
LSD,3,0.000252164,0,0,,
deferred,2,0.00016811,0,0,,
16yo,1,8.40548E-05,0,0,,
cooking,2,0.00016811,0,0,,
Visual,1,8.40548E-05,0,0,,
new,110,0.009246028,0.136363636,0.454545455,,
1212s,1,8.40548E-05,0,0,,
stern,1,8.40548E-05,0,0,,
med,6,0.000504329,0,0,,
inhaled,1,8.40548E-05,0,0,,
offagain,1,8.40548E-05,0,0,,
Intoxicated,1,8.40548E-05,0,0,,
friendher,1,8.40548E-05,0,0,,
active,40,0.003362192,-0.133333333,0.6,,
100,1,8.40548E-05,0,0,,
obtained,6,0.000504329,0,0,,
cyclical,1,8.40548E-05,0,0,,
changed,1,8.40548E-05,0,0,,
16yearsold,1,8.40548E-05,0,0,,
fulltime,8,0.000672438,0,0,,
smoke,2,0.00016811,0,0,,
stressed,8,0.000672438,0,0,,
Home,1,8.40548E-05,0,0,,
Alternative,4,0.000336219,0,0,,
golden,1,8.40548E-05,0.3,0.5,,
Binge,1,8.40548E-05,0,0,,
psychological,1,8.40548E-05,0,0.1,,
socioeconomic,2,0.00016811,0,0,,
total,1,8.40548E-05,0,0.75,,
sexual,46,0.003866521,0.5,0.833333333,,
negative,46,0.003866521,-0.3,0.4,,
call,1,8.40548E-05,0,0,,
calm,1,8.40548E-05,0.3,0.75,,
leaky,1,8.40548E-05,0,0,,
separated,13,0.001092712,0,0,,
standardized,1,8.40548E-05,0,0,,
successful,10,0.000840548,0.75,0.95,,
aware,11,0.000924603,0.25,0.25,,
freetime,1,8.40548E-05,0,0,,
locked,1,8.40548E-05,0,0,,
divorced,39,0.003278137,0,0,,
1996,2,0.00016811,0,0,,
ORU,1,8.40548E-05,0,0,,
addictive,1,8.40548E-05,0,0.9,,
give,1,8.40548E-05,0,0,,
Positive,4,0.000336219,0.227272727,0.545454545,,
want,6,0.000504329,0,0,,
counseling,1,8.40548E-05,0,0,,
Struggled,2,0.00016811,0,0,,
indifferent,5,0.000420274,0,0,,
illicit,1,8.40548E-05,0,0,,
hot,9,0.000756493,0.25,0.85,,
morbid,1,8.40548E-05,0,0,,
16lbs,1,8.40548E-05,0,0,,
Burglary,1,8.40548E-05,0,0,,
PTSD,2,0.00016811,0,0,,
insecure,6,0.000504329,-0.5,0.875,,
mouthy,3,0.000252164,0,0,,
wrong,18,0.001512986,-0.5,0.9,,
L5,1,8.40548E-05,0,0,,
lesbian,2,0.00016811,0,0,,
Tough,1,8.40548E-05,-0.388888889,0.833333333,,
third,15,0.001260822,0,0,,
Japanese,1,8.40548E-05,0,0,,
18th,4,0.000336219,0,0,,
green,1,8.40548E-05,-0.2,0.3,,
remorseful,1,8.40548E-05,0,0,,
