limited,3
LIFE,1
suicidal,33
Describes,1
sleep,2
Described,1
captain,1
Delsum,1
worth,16
15yo,1
manic,2
Military,2
34X,1
wooden,1
unrelated,1
34x,1
undercover,3
enjoy,5
tired,12
consistent,6
Negative,3
second,133
huffing,1
boycrazy,1
7th,18
blue,1
LSD,3
deferred,2
16yo,1
cooking,2
Visual,1
new,110
1212s,1
stern,1
med,6
inhaled,1
offagain,1
Intoxicated,1
friendher,1
active,40
100,1
obtained,6
cyclical,1
changed,1
16yearsold,1
fulltime,8
smoke,2
stressed,8
Home,1
Alternative,4
golden,1
Binge,1
psychological,1
socioeconomic,2
total,1
sexual,46
negative,46
call,1
calm,1
leaky,1
separated,13
standardized,1
successful,10
aware,11
freetime,1
locked,1
divorced,39
1996,2
ORU,1
addictive,1
give,1
Positive,4
want,6
counseling,1
Struggled,2
indifferent,5
illicit,1
hot,9
morbid,1
16lbs,1
Burglary,1
PTSD,2
insecure,6
mouthy,3
wrong,18
L5,1
lesbian,2
Tough,1
third,15
Japanese,1
18th,4
green,1
remorseful,1
35gXWeek,1
23xmonth,1
shipwrecked,1
sickly,1
7day,1
35yo,1
fit,10
personal,10
recreational,3
writing,1
destroyed,1
easier,1
CHF,1
prevented,1
unemployed,14
safe,6
break,1
rental,4
saddened,2
structural,1
rocky,3
notified,1
addicted,1
APC,1
bong,1
mean,10
correctional,2
financial,29
marital,17
mandated,1
driving,3
restricted,1
content,2
hemorrhaging,1
threatened,1
fugitive,1
free,12
Lamictal,1
dishwashing,1
6pack,3
onagain,1
diabetic,1
longterm,2
hopeless,9
loud,2
Due,9
hearing,1
sober,46
antibiotic,1
comic,1
caloric,1
Sonic,2
twisted,1
tom,1
recent,20
49year,1
opiatesLortabs,1
jobrelated,1
predictable,1
Muskogee,1
150mg,1
occassional,1
likely,5
Ecstasy,3
10th,21
legaldrug,1
5xweek,1
paddled,1
forced,3
Christian,8
responsible,5
isolated,2
fitting,1
hurtful,2
Okemah,1
boyfriendlater,1
regular,11
schoolbased,1
hormonal,1
webcam,1
QT,1
Lakeside,2
medical,39
Acid,8
pkt,1
random,3
ovarian,1
Suboxone,1
chargeslegal,1
enjoyed,19
busy,9
bipolar,1
hrs,1
upstairs,1
rich,1
sociallypopular,1
jailed,2
do,1
stop,2
fluid,1
blinking,1
understaffed,1
report,3
dt,4
infrequent,4
overbearing,1
Disabled,2
19,2
bad,53
18,5
mandatory,1
lortab,2
unmotivated,3
testing,1
LPCH,3
result,1
nontraditional,1
encephalopathy,1
sporadic,10
depressive,52
best,1
subject,492
Controlled,2
inappropriate,13
paternal,56
unable,33
finger,1
contraband,1
Ugandan,1
lethargic,2
lazy,2
weak,1
4xyear,2
adapting,1
ill,3
30th,4
tough,7
prepared,3
irresponsible,2
Paternal,1
38yearold,1
unprotected,1
250,1
speak,2
petty,12
jobless,1
Early,2
confident,3
much,63
basic,1
expected,1
flexible,1
unsupportive,1
dry,1
Parttime,1
Talented,1
extracurricular,9
Loratab,2
harms,1
ugly,5
near,1
placemade,1
dizzy,1
faked,1
1814,1
recurrent,2
45year,1
1819,1
several,130
independent,4
myocardial,1
catholic,1
hang,2
beer12,1
military,27
jealous,6
homeschooled,2
protected,1
prescribed,8
forceful,1
academic,7
pack24,1
corporate,1
musical,3
dads,1
left,3
seasonal,2
athletic,3
Laureate,3
sleepy,2
psych,7
human,6
previous,36
teenaged,4
monitored,1
Closeknit,1
IOP,2
unwanted,1
innocent,1
5g,1
formal,3
insensitive,1
involuntary,2
possible,10
advanced,5
shoulder,3
57,1
56,2
manual,1
53,1
52,1
specific,6
nude,1
right,7
old,278
HS,15
easy,3
dead,10
45XWeek,1
indirect,1
confusing,2
Life,1
32mg,1
purple,1
opposite,2
creative,1
icy,1
denied,1
intolerant,1
theological,1
core,2
dental,3
Daily,18
PCPlaced,1
graduated,13
First,2
anime,1
Use,21
45xweek,1
thankful,2
anorexic,1
seeked,1
support,1
initial,1
unfocused,1
fight,1
virgin,1
fought,1
drinksday,1
happy,90
head,6
secondhand,7
form,2
attempted,12
forgetful,1
situationalrecent,1
elderly,1
Emotional,1
removed,1
true,2
Left,1
absent,1
25th,1
isolative,1
121,1
emotional,28
panicky,1
penal,1
juvenile,11
proud,3
YOUNG,20
promised,1
mediocre,1
fraternal,3
physical,68
eventual,1
Traumatic,2
interested,16
molested,5
felt,1
2oz,1
intent,2
discharge,2
hurt,2
died,2
babysitting,4
toddleraged,1
bottom,1
daily,209
dilapidated,1
Second,1
amniotic,2
bulled,1
serious,16
adult,1
18yo,2
remarkable,1
switched,1
skip,1
mild,9
18yr,1
youll,1
freelance,1
disgusting,2
810,1
protective,9
flatbed,1
1sts,1
uneventful,1
1995,1
exact,3
margarita,1
respiratory,1
die,2
Northeastern,12
leave,1
shielded,1
quick,2
unaware,1
oneonone,1
upper,1
spiritual,1
unexpected,2
dealing,1
2month,1
helpless,3
Red,2
colic,1
stressful,19
contracted,1
current,63
520,1
unsure,14
1232,1
assertive,1
funeral,3
1oz,20
Kicked,1
English,1
My,7
wait,1
incoming,1
healthy,14
guilty,19
somatic,1
diagnosed,1
weird,1
teenage,3
love,1
preK,1
extra,9
bloody,1
nonalcoholic,1
Enough,1
fake,5
conjoint,2
LIBR,2
vivid,1
working,19
homesick,2
positive,47
angry,24
live,2
sleeping,5
halfbrother,1
roxycodone,1
Died,1
loving,6
menstrual,4
apparent,2
5day,1
visual,1
commissioned,1
graphic,1
lifethreatening,1
premarital,1
interracial,1
hardest,1
9th,12
following,15
crazy,4
Vietnamese,1
34XWeek,4
14g,2
allgirl,1
pink,1
unlovable,1
productive,3
septic,1
immune,3
fourth,2
nonstop,1
overall,14
disgusted,1
heartbreaking,1
mad,7
cardiac,1
such,27
eighth,6
natural,2
Restless,1
conscious,1
6th,15
fluent,2
swollen,1
typical,2
cute,1
nearfatal,1
Powerhouse,1
Embalming,1
tubal,3
cold,4
5075,1
avid,1
interesting,2
decreased,5
troubled,3
happened,4
lonely,10
unplanned,3
civilian,1
moms,1
untimed,1
toxic,2
wealthy,1
killed,2
Infant,1
name,1
Southwestern,2
42year,1
30Current,1
tumultuous,2
precancerous,1
avoided,1
extroverted,1
3rd,57
OJA,1
slowprogressing,1
attended,9
seventh,5
lucrative,1
cough,4
ounceday,1
10mg,1
unpaid,6
mesh,1
undesirable,3
510,1
unborn,1
discontinued,2
frequent,12
first,401
exotic,3
1221,1
1yearold,1
nutritional,1
indecent,1
one,5
clumsy,1
LortabsOxyContin,1
Paraprofessional,1
long,28
suspended,5
impossible,4
raped,1
open,8
