Words,Count,Adjusted_Freq,Valence,Subjectivity
and,6646,3.174542519,0,0
her,6200,2.961505209,0,0
to,5518,2.635739636,0,0
was,4922,2.351053006,0,0
the,4756,2.271761093,0,0
she,4258,2.033885352,0,0
of,3897,1.861449322,0,0
a,3531,1.686624983,0,0
age,3458,1.651755647,0,0
in,2908,1.389041475,0,0
for,2475,1.182213773,0,0
She,2389,1.14113483,0,0
with,2116,1.010733068,0,0
At,2116,1.010733068,0,0
at,2024,0.966788152,0,0
that,1833,0.875554685,0,0
his,1819,0.868867415,0,0
subject,1809,0.864090794,-0.166666667,0.333333333
time,1752,0.836864053,0,0
he,1714,0.818712892,0,0
Subject,1688,0.806293676,-0.166666667,0.333333333
per,1299,0.620483107,0,0
school,1287,0.614751162,0,0
had,1281,0.611885189,0,0
this,1232,0.588479745,0,0
from,1128,0.538802883,0,0
He,1072,0.512053804,0,0
reports,1054,0.503455886,0,0
not,1040,0.496768616,0,0
on,1029,0.491514332,0,0
2,959,0.458077983,0,0
would,948,0.4528237,0,0
mother,874,0.417476702,0,0
after,818,0.390727623,0,0
out,814,0.388816974,0,0
during,781,0.373054124,0,0
use,754,0.360157246,0,0
day,734,0.350604004,0,0
daily,712,0.340095437,0,0
started,707,0.337707126,0,0
ages,659,0.314779344,0,0
3,651,0.310958047,0,0
years,650,0.310480385,0,0
1,635,0.303315453,0,0
when,603,0.288030265,0,0
but,580,0.277044036,0,0
being,568,0.27131209,0,0
as,567,0.270834428,0,0
From,565,0.269879104,0,0
year,561,0.267968455,0,0
reported,559,0.267013131,0,0
using,554,0.26462482,0,0
period,547,0.261281185,0,0
week,533,0.254593916,0,0
moved,532,0.254116253,0,0
him,528,0.252205605,0,0
born,526,0.251250281,0,0
it,526,0.251250281,0,0
months,521,0.24886197,0,0
I,513,0.245040673,0,0
father,511,0.244085349,0,0
12,509,0.243130024,0,0
by,492,0.235009768,0,0
parents,491,0.234532106,0,0
did,483,0.230710809,0,0
went,482,0.230233147,0,0
began,479,0.22880016,0,0
an,467,0.223068215,0,0
times,465,0.222112891,0,0
is,465,0.222112891,0,0
because,465,0.222112891,0,0
Her,455,0.217336269,0,0
up,441,0.210649,0,0
were,430,0.205394716,0,0
Age,424,0.202528743,0,0
one,418,0.199662771,0,0
first,418,0.199662771,0.25,0.333333333
School,414,0.197752122,0,0
has,409,0.195363811,0,0
family,406,0.193930825,0,0
The,406,0.193930825,0,0
they,399,0.19058719,0,0
home,398,0.190109528,0,0
4,398,0.190109528,0,0
friends,389,0.185810569,0,0
husband,387,0.184855244,0,0
about,382,0.182466934,0,0
18,378,0.180556285,0,0
also,368,0.175779664,0,0
into,363,0.173391353,0,0
or,353,0.168614732,0,0
depression,352,0.16813707,0,0
have,349,0.166704084,0,0
6,344,0.164315773,0,0
alcohol,344,0.164315773,0,0
attended,343,0.163838111,0,0
In,340,0.162405124,0,0
high,338,0.1614498,0.16,0.54
5,336,0.160494476,0,0
X,332,0.158583827,0,0
month,332,0.158583827,0,0
due,331,0.158106165,-0.125,0.375
back,327,0.156195517,0,0
days,325,0.155240192,0,0
During,325,0.155240192,0,0
having,324,0.15476253,0,0
Alcohol,324,0.15476253,0,0
boyfriend,323,0.154284868,0,0
arrested,322,0.153807206,0,0
marijuana,321,0.153329544,0,0
got,320,0.152851882,0,0
married,308,0.147119936,0.25,0.25
15,306,0.146164612,0,0
Marijuana,301,0.143776301,0,0
their,301,0.143776301,0,0
25,297,0.141865653,0,0
drinking,296,0.141387991,0,0
be,287,0.137089031,0,0
get,285,0.136133707,0,0
jail,284,0.135656045,0,0
old,278,0.132790072,0.1,0.2
no,278,0.132790072,0,0
Years,270,0.128968775,0,0
Tulsa,268,0.128013451,0,0
drug,267,0.127535789,0,0
subjects,266,0.127058127,0,0
until,262,0.125147478,0,0
14,258,0.12323683,0,0
son,257,0.122759168,0,0
child,256,0.122281505,0,0
grade,251,0.119893195,0,0
very,249,0.11893787,0.2,0.3
10,248,0.118460208,0,0
23,246,0.117504884,0,0
